population	date	idplant	idfruit	sugar_bx_obs	sample_mass_g	water_volume_uL	sample_type	true_sugar_bx
urban	23/12/2021	LP62	LP62-4	1	0.128	100	peel	1.781
urban	23/12/2021	LP49	LP49-1	22.25	NA	NA	pulp	NA
urban	23/12/2021	LP43	LP43-2	14	NA	NA	pulp	NA
urban	23/12/2021	LP10	LP10-1A	16.75	NA	NA	pulp	NA
urban	23/12/2021	LP10	LP10-1B	18	NA	NA	pulp	NA
urban	23/12/2021	LP10	LP10-2	18.5	NA	NA	pulp	NA
urban	23/12/2021	LP10	LP10-3	19	NA	NA	pulp	NA
urban	23/12/2021	LP18	LP18-1	24.5	NA	NA	pulp	NA
urban	23/12/2021	LP18	LP18-3	23	NA	NA	pulp	NA
urban	23/12/2021	LP18	LP18-4	23.25	NA	NA	pulp	NA
urban	23/12/2021	LP2	LP2-3	15.25	NA	NA	pulp	NA
urban	23/12/2021	LP2	LP2-4	6.25	NA	NA	pulp	NA
urban	23/12/2021	LP2	LP2-5	8.5	NA	NA	pulp	NA
urban	23/12/2021	LP19	LP19-2	19	NA	NA	pulp	NA
urban	23/12/2021	LP19	LP19-3	21.5	NA	NA	pulp	NA
urban	23/12/2021	LP52	LP52-1	18.75	NA	NA	pulp	NA
urban	23/12/2021	LP52	LP52-2	17.5	NA	NA	pulp	NA
urban	23/12/2021	LP52	LP52-3	16.5	NA	NA	pulp	NA
urban	27/12/2021	LP42	LP42-2	2	0.148	100	peel	3.351
urban	27/12/2021	LP40	LP40-4	2	0.134	100	peel	3.493
urban	27/12/2021	LP53	LP53-3	0.75	0.073	100	peel	1.777
urban	27/12/2021	LP60	LP60-4	0.75	0.094	100	peel	1.548
urban	27/12/2021	LP19	LP19-3	1.25	0.103	100	peel	2.464
urban	27/12/2021	LP26	LP26-4	1.5	0.069	100	peel	3.674
urban	27/12/2021	LP59	LP59-2	3.25	0.112	100	peel	6.152
urban	27/12/2021	LP61	LP61-1	1.25	0.134	100	peel	2.183
urban	27/12/2021	LP65	LP65-3	1.25	0.146	100	peel	2.106
urban	27/12/2021	LP10	LP10-2	3	0.098	100	peel	6.061
urban	27/12/2021	LP48	LP48-1	2.5	0.146	200	peel	5.925
urban	27/12/2021	LP25	LP25-5	2	0.088	100	peel	4.273
urban	27/12/2021	LP48	LP48-3	1.75	0.159	100	peel	2.851
urban	27/12/2021	LP8	LP8-1	3	0.153	100	peel	4.961
urban	28/12/2021	LP12	LP12-1	1.25	0.121	100	peel	2.283
urban	28/12/2021	LP5	LP5-3	1.5	0.156	100	peel	2.462
urban	28/12/2021	LP30	LP30-1	2.75	0.159	100	peel	4.48
urban	28/12/2021	LP62	LP62-3	0.75	0.096	100	peel	1.531
urban	28/12/2021	LP15	LP15-1	1.25	0.134	100	peel	2.183
urban	28/12/2021	LP10	LP10-1	1	0.094	100	peel	2.064
urban	28/12/2021	LP4	LP4-4	2	0.06	100	peel	5.333
urban	28/12/2021	LP65	LP65-1	2.25	0.142	100	peel	3.835
urban	28/12/2021	LP65	LP65-2	2.5	0.146	100	peel	4.212
urban	28/12/2021	LP43	LP43-2	2.5	0.124	100	peel	4.516
urban	28/12/2021	LP25	LP25-1	2.75	0.118	100	peel	5.081
urban	28/12/2021	LP42	LP42-3	0.75	0.165	100	peel	1.205
urban	28/12/2021	LP66	LP66-2	0.75	0.058	100	peel	2.043
urban	28/12/2021	LP65	LP65-5	2.5	0.14	100	peel	4.286
urban	28/12/2021	LP26	LP26-3	1.25	0.108	100	peel	2.407
urban	30/12/2021	LP14	LP14-2	2.5	0.128	100	peel	4.453
urban	30/12/2021	LP52	LP52-3	1	0.148	100	peel	1.676
urban	30/12/2021	LP18	LP18-5	1.25	0.095	100	peel	2.566
urban	30/12/2021	LP4	LP4-1	0.5	0.136	100	peel	0.868
urban	30/12/2021	LP58	LP58-5	3	0.095	100	peel	6.158
urban	30/12/2021	LP4	LP4-2	4.75	0.159	100	peel	7.737
urban	30/12/2021	LP58	LP58-3	2	0.092	100	peel	4.174
urban	30/12/2021	LP35	LP35-4	1.25	0.086	200	peel	4.157
urban	30/12/2021	LP59	LP59-3	0.5	0.121	100	peel	0.913
urban	30/12/2021	LP62	LP62-1	0.5	0.097	100	peel	1.015
urban	30/12/2021	LP52	LP52-1	2	0.091	200	peel	6.396
urban	30/12/2021	LP4	LP4-3	3.5	0.099	100	peel	7.035
urban	30/12/2021	LP37	LP37-4	1.75	0.141	100	peel	2.991
urban	30/12/2021	LP25	LP25-3	2	0.131	100	peel	3.527
urban	30/12/2021	LP42	LP42-1	1	0.108	100	peel	1.926
urban	30/12/2021	LP64	LP64-1	1.5	0.135	100	peel	2.611
urban	30/12/2021	LP49	LP49-2	4.5	0.18	100	peel	7
urban	30/12/2021	LP57	LP57-1	3	0.114	100	peel	5.632
urban	30/12/2021	LP12	LP12-3	1.75	0.104	100	peel	3.433
urban	30/12/2021	LP29	LP29-2	1.5	0.101	100	peel	2.985
urban	30/12/2021	LP65	LP65-4	2	0.119	100	peel	3.681
urban	30/12/2021	LP60	LP60-1	2.25	0.124	100	peel	4.065
rural	27/12/2021	MG38	MG38-5	6.75	NA	NA	pulp	NA
rural	27/12/2021	MG40	MG40-2	16.5	NA	NA	pulp	NA
rural	27/12/2021	MG22	MG22-6	8.5	NA	NA	pulp	NA
rural	27/12/2021	MG4	MG4-2	6.5	NA	NA	pulp	NA
rural	27/12/2021	MG31	MG31-2	14.5	NA	NA	pulp	NA
rural	27/12/2021	MG11	MG11-1	11.25	NA	NA	pulp	NA
rural	27/12/2021	MG11	MG11-5	12	NA	NA	pulp	NA
rural	27/12/2021	MG38	MG38-7	13	NA	NA	pulp	NA
rural	27/12/2021	MG23	MG23-7	12.25	NA	NA	pulp	NA
rural	27/12/2021	MG37	MG37-3	9.5	NA	NA	pulp	NA
rural	27/12/2021	MG24	MG24-7	11.5	NA	NA	pulp	NA
rural	27/12/2021	MG29	MG29-1	17.5	NA	NA	pulp	NA
rural	27/12/2021	MG8	MG8-9	12.5	NA	NA	pulp	NA
rural	27/12/2021	MG9	MG9-9	10	NA	NA	pulp	NA
rural	27/12/2021	MG16	MG16-2	10	NA	NA	pulp	NA
rural	27/12/2021	MG31	MG31-1	19	NA	NA	pulp	NA
rural	27/12/2021	MG9	MG9-6	8.75	NA	NA	pulp	NA
rural	27/12/2021	MG2	MG2-1	10.25	NA	NA	pulp	NA
rural	27/12/2021	MG16	MG16-4	9.5	NA	NA	pulp	NA
rural	28/12/2021	MG11	MG11-3	8.25	NA	NA	pulp	NA
rural	28/12/2021	MG11	MG11-4	12	NA	NA	pulp	NA
rural	28/12/2021	MG39	MG39-6	15.5	NA	NA	pulp	NA
rural	28/12/2021	MG22	MG22-4	9	NA	NA	pulp	NA
rural	28/12/2021	MG37	MG37-5	9.25	NA	NA	pulp	NA
rural	28/12/2021	MG4	MG4-3	5	NA	NA	pulp	NA
rural	28/12/2021	MG21	MG21-1	18.75	NA	NA	pulp	NA
rural	28/12/2021	MG4	MG4-4	4	NA	NA	pulp	NA
rural	28/12/2021	MG26	MG26-1	10.75	NA	NA	pulp	NA
rural	28/12/2021	MG22	MG22-7	8	NA	NA	pulp	NA
rural	28/12/2021	MG24	MG24-9	10.25	NA	NA	pulp	NA
rural	28/12/2021	MG23	MG23-10	10.5	NA	NA	pulp	NA
rural	28/12/2021	MG44	MG44-4	4.25	NA	NA	pulp	NA
rural	28/12/2021	MG11	MG11-2	10.25	NA	NA	pulp	NA
rural	28/12/2021	MG28	MG28-7	9.5	NA	NA	pulp	NA
rural	28/12/2021	MG16	MG16-3	5.5	NA	NA	pulp	NA
rural	28/12/2021	MG22	MG22-5	9.25	NA	NA	pulp	NA
rural	28/12/2021	MG28	MG28-5	15.5	NA	NA	pulp	NA
rural	30/12/2021	MG24	MG24-2	17.5	NA	NA	pulp	NA
rural	30/12/2021	MG10	MG10-2	16.75	NA	NA	pulp	NA
rural	30/12/2021	MG24	MG24-4	15	NA	NA	pulp	NA
rural	30/12/2021	MG12	MG12-3	12.25	NA	NA	pulp	NA
rural	30/12/2021	MG24	MG24-6	13.25	NA	NA	pulp	NA
rural	30/12/2021	MG9	MG9-4	7.5	NA	NA	pulp	NA
rural	30/12/2021	MG15	MG15-1	16.5	NA	NA	pulp	NA
rural	30/12/2021	MG28	MG28-1	15.75	NA	NA	pulp	NA
rural	30/12/2021	MG2	MG2-2	7.5	NA	NA	pulp	NA
rural	30/12/2021	MG10	MG10-1	20	NA	NA	pulp	NA
rural	30/12/2021	MG33	MG33-6	5.5	NA	NA	pulp	NA
rural	30/12/2021	MG6	MG6-1	12.5	NA	NA	pulp	NA
rural	01/02/2022	MG7	MG7-2	12	NA	NA	pulp	NA
rural	01/02/2022	MG4	MG4-1	12.25	NA	NA	pulp	NA
rural	01/02/2022	MG39	MG39-8	15.75	NA	NA	pulp	NA
rural	01/02/2022	MG39	MG39-4	5.75	NA	NA	pulp	NA
rural	01/02/2022	MG24	MG24-8	13.25	NA	NA	pulp	NA
rural	01/02/2022	MG18	MG18-2	6.75	NA	NA	pulp	NA
rural	01/02/2022	MG9	MG9-10	8.5	NA	NA	pulp	NA
rural	01/02/2022	MG33	MG33-5	7.25	NA	NA	pulp	NA
rural	01/02/2022	MG7	MG7-5	3.25	0.089	100	peel	6.902
rural	01/02/2022	MG44	MG44-1	1.5	0.111	100	peel	2.851
rural	01/02/2022	MG40	MG40-1	2.5	0.098	100	peel	5.051
rural	01/02/2022	MG35	MG35-5	0.75	0.137	100	peel	1.297
rural	01/02/2022	MG20	MG20-1	1.5	0.104	100	peel	2.942
rural	01/02/2022	MG22	MG22-7	3.25	0.18	100	peel	5.056
rural	01/02/2022	MG28	MG28-5	2.25	0.153	100	peel	3.721
rural	01/02/2022	MG33	MG33-1	1	0.145	100	peel	1.69
rural	01/02/2022	MG15	MG15-1	1	0.139	100	peel	1.719
rural	01/02/2022	MG31	MG31-1	1.25	0.109	100	peel	2.397
rural	01/02/2022	MG11	MG11-2	1.25	0.141	200	peel	3.023
rural	01/02/2022	MG24	MG24-7	1.25	0.148	100	peel	2.095
rural	01/02/2022	MG24	MG24-6	1.5	0.153	100	peel	2.48
rural	01/02/2022	MG24	MG24-8	1.25	0.113	100	peel	2.356
rural	01/02/2022	MG24	MG24-4	1.5	0.141	100	peel	2.564
rural	01/02/2022	MG28	MG28-1	1.25	0.1	100	peel	2.5
rural	01/02/2022	MG9	MG9-6	1	0.105	100	peel	1.952
rural	01/02/2022	MG37	MG37-3	1.25	0.173	100	peel	1.973
rural	01/02/2022	MG8	MG8-5B	0.75	0.082	100	peel	1.665
rural	01/02/2022	MG16	MG16-3	1	0.15	200	peel	2.333
rural	02/02/2022	MG10	MG10-3	2.5	0.148	100	peel	4.189
rural	02/02/2022	MG7	MG7-2	1.25	0.199	100	peel	1.878
rural	02/02/2022	MG23	MG23-5	1.75	0.087	100	peel	3.761
rural	02/02/2022	MG22	MG22-5	1	0.135	100	peel	1.741
rural	02/02/2022	MG39	MG39-4	0.75	0.153	100	peel	1.24
rural	02/02/2022	MG37	MG37-5	0.5	0.162	100	peel	0.809
rural	02/02/2022	MG31	MG31-2B	0.75	0.153	100	peel	1.24
rural	02/02/2022	MG30	MG30-1	1	0.115	100	peel	1.87
rural	02/02/2022	MG36	MG36-4	0.75	0.117	100	peel	1.391
rural	02/02/2022	MG25	MG25-1	1.5	0.198	100	peel	2.258
rural	02/02/2022	MG36	MG36-3	0.5	0.084	100	peel	1.095
rural	02/02/2022	MG33	MG33-6	0.75	0.14	100	peel	1.286
rural	02/02/2022	MG31	MG31-1	0.5	0.08	100	peel	1.125
rural	02/02/2022	MG11	MG11-4	1	0.098	100	peel	2.02
rural	02/02/2022	MG22	MG22-4	1.75	0.151	100	peel	2.909
rural	02/02/2022	MG9	MG9-4	0.5	0.115	100	peel	0.935
rural	02/02/2022	MG38	MG38-6	1	0.124	100	peel	1.806
rural	02/02/2022	MG8	MG8-5	4.5	NA	NA	pulp	NA
rural	02/02/2022	MG20	MG20-2	16.5	NA	NA	pulp	NA
rural	02/02/2022	MG13	MG13-1	2.25	0.157	100	peel	3.683
rural	03/02/2022	MG38	MG38-3	1.75	0.173	100	peel	2.762
rural	03/02/2022	MG9	MG9-9	0.5	0.156	100	peel	0.821
rural	03/02/2022	MG20	MG20-2	0.5	0.147	100	peel	0.84
rural	03/02/2022	MG23	MG23-9	2.5	0.107	100	peel	4.836
rural	03/02/2022	MG30	MG30-2	1.5	0.131	100	peel	2.645
rural	03/02/2022	MG9	MG9-8	0.5	0.123	100	peel	0.907
rural	03/02/2022	MG36	MG36-2	1.75	0.11	100	peel	3.341
rural	03/02/2022	MG28	MG28-6	1.25	0.15	100	peel	2.083
rural	03/02/2022	MG20	MG20-3	1.25	0.129	100	peel	2.219
rural	03/02/2022	MG16	MG16-1	1	0.158	100	peel	1.633
rural	03/02/2022	MG19	MG19-1	0.5	0.071	100	peel	1.204
rural	03/02/2022	MG7	MG7-1	1.5	0.072	100	peel	3.583
rural	03/02/2022	MG29	MG29-1	1.5	0.156	100	peel	2.462
rural	03/02/2022	MG20	MG20-4	2	0.12	200	peel	5.333
rural	03/02/2022	MG4	MG4-4	0.75	0.163	100	peel	1.21
rural	03/02/2022	MG4	MG4-5	33.5	NA	NA	pulp	NA
rural	03/02/2022	MG7	MG7-3	12.25	NA	NA	pulp	NA
rural	03/02/2022	MG26	MG26-2	17.75	NA	NA	pulp	NA
rural	03/02/2022	MG40	MG40-3	11.75	NA	NA	pulp	NA
rural	03/02/2022	MG38	MG38-6	7.25	NA	NA	pulp	NA
rural	04/02/2022	MG9	MG9-10	0.25	0.112	100	peel	0.473
rural	04/02/2022	MG23	MG23-10	1	0.158	100	peel	1.633
rural	04/02/2022	MG4	MG4-1	1	0.116	100	peel	1.862
rural	04/02/2022	MG18	MG18-2	1	0.108	100	peel	1.926
rural	04/02/2022	MG40	MG40-2	0.5	0.109	100	peel	0.959
rural	04/02/2022	MG39	MG39-8	0.75	0.121	100	peel	1.37
rural	04/02/2022	MG23	MG23-9	1.25	0.091	100	peel	2.624
rural	04/02/2022	MG33	MG33-5	1.75	0.166	100	peel	2.804
rural	04/02/2022	MG2	MG2-2	1.5	0.143	100	peel	2.549
rural	04/02/2022	MG8	MG8-1	0.5	0.118	100	peel	0.924
rural	04/02/2022	MG33	MG33-3	1.5	0.167	100	peel	2.398
rural	04/02/2022	MG11	MG11-1	1.5	0.124	100	peel	2.71
rural	04/02/2022	MG35	MG35-2	1.25	0.173	100	peel	1.973
rural	07/02/2022	MG35	MG35-1	1	0.148	100	peel	1.676
rural	07/02/2022	MG9	MG9-7	1.5	0.138	100	peel	2.587
rural	07/02/2022	MG41	MG41-1	0.5	0.082	100	peel	1.11
rural	07/02/2022	MG26	MG26-1	1.25	0.133	100	peel	2.19
rural	07/02/2022	MG4	MG4-3	0.25	0.143	100	peel	0.425
rural	07/02/2022	MG33	MG33-1	5.75	NA	NA	pulp	NA
rural	07/02/2022	MG35	MG35-5	9.5	NA	NA	pulp	NA
rural	07/02/2022	MG5	MG5-1	3	0.145	100	peel	5.069
rural	07/02/2022	MG8	MG8-5	1	0.084	100	peel	2.19
rural	07/02/2022	MG5	MG5-2	3	0.099	100	peel	6.03
rural	07/02/2022	MG7	MG7-4	3.5	0.163	100	peel	5.647
rural	07/02/2022	MG25	MG25-2	1.25	0.124	100	peel	2.258
rural	07/02/2022	MG10	MG10-1	0.75	0.181	100	peel	1.164
rural	07/02/2022	MG4	MG4-5	0.75	0.091	100	peel	1.574
rural	07/02/2022	MG11	MG11-5	1	0.148	100	peel	1.676
rural	07/02/2022	MG24	MG24-9	0.5	0.141	100	peel	0.855
rural	07/02/2022	MG10	MG10-2	0.5	0.12	100	peel	0.917
rural	07/02/2022	MG4	MG4-2	1.25	0.143	100	peel	2.124
rural	07/02/2022	MG21	MG21-1	0.75	0.129	100	peel	1.331
rural	07/02/2022	MG23	MG23-7	0.75	0.155	100	peel	1.234
rural	07/02/2022	MG24	MG24-2	1	0.19	100	peel	1.526
rural	07/02/2022	MG39	MG39-6	1.25	0.142	100	peel	2.13
rural	07/02/2022	MG6	MG6-1	0.75	0.123	100	peel	1.36
rural	07/02/2022	MG37	MG37-1	2	0.173	100	peel	3.156
rural	07/02/2022	MG22	MG22-6	1.75	0.198	100	peel	2.634
rural	07/02/2022	MG39	MG39-3	0.75	0.096	100	peel	1.531
rural	08/02/2022	MG38	MG38-5	1.5	0.13	100	peel	2.654
rural	08/02/2022	MG16	MG16-2	0.5	0.143	100	peel	0.85
rural	08/02/2022	MG16	MG16-4	1.25	0.166	100	peel	2.003
rural	08/02/2022	MG40	MG40-3	0.5	0.119	100	peel	0.92
rural	08/02/2022	MG25	MG25-5	1.5	0.161	100	peel	2.432
rural	08/02/2022	MG38	MG38-7	1	0.157	100	peel	1.637
rural	08/02/2022	MG22	MG22-8	1.5	0.179	100	peel	2.338
rural	08/02/2022	MG11	MG11-3	0.75	0.134	100	peel	1.31
rural	08/02/2022	MG7	MG7-3	0.25	0.157	100	peel	0.409
rural	08/02/2022	MG26	MG26-2	1.5	0.177	100	peel	2.347
rural	08/02/2022	MG39	MG39-6	1.25	0.136	100	peel	2.169
rural	08/02/2022	MG17	MG17-1	1.5	0.092	100	peel	3.13
rural	08/02/2022	MG2	MG2-1	1.75	0.139	100	peel	3.009
