population	idplant	idfruit	mass_g	seedn	length	diam	pulp_sugar_bx	peel_sugar_bx
semiurban	RA43	RA43-1	14.4	229	39.42	48.58	21.75	4.469
semiurban	RA43	RA43-2	20.7	266	48.57	49.99	21.25	6.614
semiurban	RA43	RA43-3	17.6	253	48	41.82	18.5	3.325
semiurban	RA43	RA43-4	22.1	243	44.26	49.66	21	2.362
semiurban	RA43	RA43-5	17.3	209	46.08	46.01	20.5	2.137
semiurban	RA44	RA44-1	12.1	164	42.08	33.92	16.5	3.724
semiurban	RA44	RA44-2	17.3	174	56.29	40.45	NA	1.222
semiurban	RA44	RA44-3	14.7	161	51.49	34.94	6	1.278
semiurban	RA44	RA44-4	14	121	56.28	36.04	NA	3.654
semiurban	RA44	RA44-5	12.9	150	52.93	36.16	NA	2.114
semiurban	RA45	RA45-1	8	139	40.25	34.2	18.5	6.974
semiurban	RA45	RA45-2	7.5	119	40.13	35.02	NA	NA
semiurban	RA45	RA45-3	17.1	263	42.96	40.75	17	3.196
semiurban	RA45	RA45-4	NA	NA	40.16	36.52	NA	NA
semiurban	RA45	RA45-5	8	175	33.95	33.25	NA	NA
semiurban	RA46	RA46-1	9.2	162	36.42	33.45	20.25	4.794
semiurban	RA46	RA46-2	2.7	31	22.62	21.13	28.25	3.219
semiurban	RA46	RA46-3	3.6	49	26.38	23.62	21.75	3.342
semiurban	RA46	RA46-4	10.8	183	39.12	33.93	20.25	1.654
semiurban	RA46	RA46-5	11.4	179	39.36	35.38	18.75	3.117
semiurban	RA47	RA47-1	11	169	38.51	36.42	20.5	8.101
semiurban	RA47	RA47-2	6.8	120	31.7	33.03	21	4.352
semiurban	RA47	RA47-3	9.7	161	39.58	32.9	19.5	6.03
semiurban	RA47	RA47-4	6.3	96	38.11	30.83	21	5.191
semiurban	RA47	RA47-5	7.2	122	36.61	31.25	20.75	5.455
semiurban	RA47	RA47-1	NA	NA	50.25	38.48	NA	NA
semiurban	RA48	RA48-2	11.9	161	41.9	36.06	NA	3.009
semiurban	RA48	RA48-3	18.8	209	49.76	43.5	NA	NA
semiurban	RA49	RA49-1	13.9	218	49.09	49.58	NA	3.795
semiurban	RA49	RA49-2	15.7	228	48.17	46.37	19.5	2.418
semiurban	RA49	RA49-3	12.7	211	47.51	43.49	15.75	4.063
semiurban	RA49	RA49-4	13.7	193	45.92	42.43	NA	5.055
semiurban	RA49	RA49-5	10.1	162	42.14	42.69	20	5.535
semiurban	RA50	RA50-1	16.5	218	47.28	42.65	23	2.534
semiurban	RA50	RA50-2	20.1	249	49.79	44.79	19	4.775
semiurban	RA50	RA50-3	13.1	215	48.21	40.57	19.25	6.528
semiurban	RA50	RA50-4	16.4	209	45.51	38.76	19.75	2.761
semiurban	RA50	RA50-5	13.2	194	42.58	39.82	NA	3.399
rural	MG1	MG1-1	2.3	121	29.84	22.12	NA	NA
rural	MG1	MG1-2	1	14	20.67	14.8	NA	NA
rural	MG1	MG1-3	1.1	29	17.54	16.26	NA	NA
rural	MG10	MG10-1	12.6	222	47.69	32.28	20	1.164
rural	MG10	MG10-2	13.9	249	45.62	34.17	16.75	0.917
rural	MG11	MG11-1	12.3	234	41.39	37.45	11.25	2.71
rural	MG11	MG11-2	9.7	198	39.93	35.65	10.25	3.023
rural	MG11	MG11-3	10.6	224	36.35	33.7	8.25	1.31
rural	MG11	MG11-4	8.3	155	38.34	30	12	2.02
rural	MG11	MG11-5	5.8	113	30.55	26.3	12	1.676
rural	MG12	MG12-1	NA	NA	26.28	22.55	NA	NA
rural	MG12	MG12-2	NA	NA	36.35	32.33	NA	NA
rural	MG12	MG12-3	NA	NA	36.47	30.97	12.25	NA
rural	MG12	MG12-4	NA	NA	24.01	20.68	NA	NA
rural	MG12	MG12-5	NA	NA	35.92	31.32	NA	NA
rural	MG13	MG13-1	4.8	211	36.47	27.1	NA	3.683
rural	MG15	MG15-1	14	211	41.93	32.43	16.5	1.719
rural	MG16	MG16-2	18	217	46.4	32.46	10	0.85
rural	MG16	MG16-3	16.6	210	43.65	30.83	5.5	2.333
rural	MG16	MG16-4	22.9	234	48.03	35.21	9.5	2.003
rural	MG17	MG17-1	5.4	0	NA	35.29	NA	3.13
rural	MG18	MG18-2	12.1	157	38.39	31.09	6.75	1.926
rural	MG19	MG19-1	2.2	10	24.79	17.41	NA	1.204
rural	MG2	MG2-1	8	119	36.94	28.94	10.25	3.009
rural	MG2	MG2-2	7.3	94	36.57	26.77	7.5	2.549
rural	MG2	MG2-3	0.7	61	25.99	15.8	NA	NA
rural	MG2	MG2-4	0.1	16	14.59	9.83	NA	NA
rural	MG20	MG20-1	17.1	176	47.41	34.1	NA	2.942
rural	MG20	MG20-2	12.7	162	47.07	33.14	16.5	0.84
rural	MG21	MG21-1	14.4	232	42.43	36.64	18.75	1.331
rural	MG22	MG22-4	15.7	252	37.31	29.31	9	2.909
rural	MG22	MG22-5	15	258	39.6	30.65	9.25	1.741
rural	MG22	MG22-6	11.2	219	36.76	27.32	8.5	2.634
rural	MG22	MG22-7	12.9	251	37.27	30.41	8	5.056
rural	MG22	MG22-8	11.4	226	34.25	28.85	NA	2.338
rural	MG23	MG23-5	11.6	213	35.46	27.78	NA	3.761
rural	MG23	MG23-6	13.4	208	37.21	32.35	NA	NA
rural	MG23	MG23-7	19.7	224	43.11	33.98	12.25	1.234
rural	MG23	MG23-9	8.9	189	30.54	24.94	NA	4.836
rural	MG23	MG23-10	18.3	193	44.23	38.33	10.5	1.633
rural	MG24	MG24-2	20.5	293	46.77	41.58	17.5	1.526
rural	MG24	MG24-4	20	299	47.63	39.34	15	2.564
rural	MG24	MG24-6	20.3	281	46.05	37.3	13.25	2.48
rural	MG24	MG24-7	20.8	269	48.43	37.46	11.5	2.095
rural	MG24	MG24-8	16.7	246	43.6	34.84	13.25	2.356
rural	MG25	MG25-1	3.8	88	27.73	24.31	NA	2.258
rural	MG25	MG25-5	9.6	85	39.15	34.39	NA	2.432
rural	MG26	MG26-1	11.1	173	33.19	31.1	10.75	2.19
rural	MG26	MG26-2	9.8	103	33.4	28.89	17.75	2.347
rural	MG27	MG27-1	0.3	0	NA	26.12	NA	NA
rural	MG27	MG27-2	0.5	0	NA	30.8	NA	NA
rural	MG28	MG28-1	8.9	123	33.67	32.46	15.75	2.5
rural	MG28	MG28-3	2.9	122	28.12	22.15	NA	NA
rural	MG28	MG28-5	5.5	68	30.66	26.61	15.5	3.721
rural	MG28	MG28-6	13.2	183	35.59	32.83	NA	2.083
rural	MG28	MG28-7	13	162	37.33	36.19	9.5	NA
rural	MG29	MG29-1	12.7	202	48.14	36.13	17.5	2.462
rural	MG30	MG30-1	3.4	0	39.55	34.72	NA	1.87
rural	MG30	MG30-2	3.4	0	NA	34.6	NA	2.645
rural	MG30	MG30-3	0.6	0	NA	22.34	NA	NA
rural	MG31	MG31-1	12.4	172	45.39	34.48	19	2.397
rural	MG31	MG31-2	20.1	248	46.19	33.11	14.5	1.24
rural	MG33	MG33-1	11.1	NA	35.24	32.57	5.75	1.69
rural	MG33	MG33-3	8	88	31.69	27.81	NA	2.398
rural	MG33	MG33-4	6.8	NA	29.2	26.82	NA	NA
rural	MG33	MG33-5	9.5	92	32.47	29.04	7.25	2.804
rural	MG33	MG33-6	11.8	229	36.64	31.68	5.5	1.286
rural	MG35	MG35-4	2.1	34	26.67	23.07	NA	NA
rural	MG35	MG35-5	13.4	115	38.17	34.78	9.5	1.297
rural	MG36	MG36-3	2.7	0	22.91	19.87	NA	1.095
rural	MG36	MG36-4	1.1	0	NA	NA	NA	1.391
rural	MG37	MG37-3	21.5	238	43.59	36.26	9.5	1.973
rural	MG37	MG37-4	7.7	NA	31.27	23.66	NA	NA
rural	MG37	MG37-5	13.3	154	39.15	29.52	9.25	0.809
rural	MG38	MG38-3	17	240	37.77	36.9	NA	2.762
rural	MG38	MG38-4	13.3	196	37.41	33.75	NA	NA
rural	MG38	MG38-5	10	177	31.23	29.95	6.75	2.654
rural	MG38	MG38-6	12	206	35.31	32.8	7.25	1.806
rural	MG38	MG38-7	8.4	88	30.99	31.89	13	1.637
rural	MG39	MG39-4	20.4	243	44.62	40.81	5.75	1.24
rural	MG39	MG39-5	21.8	237	43.03	41.33	NA	NA
rural	MG39	MG39-6	21.1	222	42.45	41.07	15.5	2.13
rural	MG39	MG39-7	21.1	248	42.53	39.1	NA	NA
rural	MG39	MG39-8	12	99	38.09	33.94	15.75	1.37
rural	MG4	MG4-1	16.8	118	40.6	37.89	12.25	1.862
rural	MG4	MG4-2	19.5	205	40.44	39.03	6.5	2.124
rural	MG4	MG4-3	20	216	39.48	35.38	5	0.425
rural	MG4	MG4-4	13	160	34.17	31.23	4	1.21
rural	MG4	MG4-5	12	17	32.88	30.45	33.5	1.574
rural	MG40	MG40-1	5.4	87	29.81	26.21	NA	5.051
rural	MG40	MG40-2	10	117	38	31.08	16.5	0.959
rural	MG40	MG40-3	12	186	36.69	30.44	11.75	0.92
rural	MG40	MG40-4	2.5	3	19.96	18.51	NA	NA
rural	MG41	MG41-1	0.8	0	20.93	14.84	NA	1.11
rural	MG43	MG43-1	4.1	0	NA	33.58	NA	NA
rural	MG43	MG43-2	3	0	NA	30.04	NA	NA
rural	MG5	MG5-1	2	0	31.02	31.73	NA	5.069
rural	MG5	MG5-2	1.6	0	31.35	27.95	NA	6.03
rural	MG6	MG6-1	6	68	30.31	23.27	12.5	1.36
rural	MG7	MG7-1	6.6	93	29.03	26.17	NA	3.583
rural	MG7	MG7-2	13.7	120	40.23	31.73	12	1.878
rural	MG7	MG7-3	17.7	154	46.52	34.22	12.25	0.409
rural	MG7	MG7-5	5.8	57	28.62	24.48	NA	6.902
rural	MG8	MG8-1	2.9	35	24.8	21.95	NA	0.924
rural	MG8	MG8-2	1.8	12	20.42	17.11	NA	NA
rural	MG8	MG8-3	0.7	5	16.93	14.87	NA	NA
rural	MG8	MG8-5	7.4	173	30.57	27.03	4.5	2.19
rural	MG9	MG9-6	15.6	108	36.62	31.93	8.75	1.952
rural	MG9	MG9-7	7.8	43	28.04	27.55	NA	2.587
rural	MG9	MG9-8	11.9	83	31.36	30.76	NA	0.907
rural	MG9	MG9-9	14.9	104	37.26	35.16	10	0.821
rural	MG9	MG9-10	10.7	78	31.85	28.54	8.5	0.473
