population	idplant	date	length	crop	fruit_rem	visits	obs_time_h	x.diam	x.nseeds	x.pulp.sugar	x.peel.sugar
urban	LP35	28-dic-20	4.5	32	10	0	0.5	32.79	143.2	19.25	3.33
urban	LP36	23-dic-20	3.5	170	9	1	0.5	33.13	94.0	20.30	2.59
urban	LP37	21-dic-20	2.5	27	1	0	0.5	39.20	215.4	21.00	2.24
urban	LP38	21-dic-20	5	11	0	0	0.5	30.25	90.8	22.50	2.68
urban	LP39	22-dic-20	3.5	7	5	0	0.5	36.49	213.6	21.75	3.12
urban	LP40	22-dic-20	5.2	3	1	0	0.5	34.34	175.0	NA	4.28
urban	LP41	23-dic-20	6	25	14	0	0.5	32.09	152.6	20.50	2.85
urban	LP42	23-dic-20	10	96	13	1	0.5	32.02	150.4	19.25	2.39
urban	LP43	23-dic-20	1.7	3	0	0	0.5	27.44	94.2	14.00	4.80
urban	LP46	29-dic-20	6	39	10	3	0.5	31.44	89.3	11.50	1.92
urban	LP48	28-dic-20	3.5	31	12	0	0.5	38.14	147.2	NA	3.96
urban	LP49	28-dic-20	0.6	39	21	0	0.5	25.18	203.5	22.25	5.78
urban	LP50	28-dic-20	1.5	11	9	0	0.5	25.59	66.0	14.50	2.12
urban	LP51	29-dic-20	5	11	3	0	0.5	37.99	286.6	8.25	0.91
urban	LP52	29-dic-20	2.5	6	4	0	0.5	33.05	234.7	17.58	3.12
urban	LP56	26-dic-20	2.5	17	2	0	0.5	39.57	264.5	20.50	2.95
urban	LP57	26-dic-20	6	34	5	0	0.5	34.73	137.6	22.80	3.61
urban	LP58	26-dic-20	2	27	11	0	0.5	33.06	207.8	21.06	4.03
urban	LP59	26-dic-20	4	16	4	4	0.5	32.32	231.0	20.75	3.53
urban	LP60	26-dic-20	4	9	2	0	0.5	30.75	169.6	20.80	3.18
urban	LP61	26-dic-20	3.5	60	19	5	0.5	36.86	151.6	20.50	3.08
urban	LP62	28-dic-20	5	32	1	0	0.5	29.99	105.6	20.60	1.73
urban	LP63	28-dic-20	3	24	16	0	0.5	33.68	181.5	7.50	1.73
